City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Fruitville,US,27.3298,-82.4576,51.91,88,0,6.91,clear sky
150,Vanimo,PG,-2.6741,141.3028,84.15,70,63,4.29,broken clouds
151,Talca,CL,-35.4333,-71.6667,60.51,77,28,3.69,scattered clouds
152,Cayenne,GF,4.9333,-52.3333,76.08,89,75,3.0,broken clouds
153,Omboue,GA,-1.5746,9.2618,79.7,85,64,4.27,broken clouds
154,Chapais,CA,49.7834,-74.8492,28.18,94,100,10.45,overcast clouds
155,Prachuap Khiri Khan,TH,12.2167,99.75,88.47,45,89,11.63,light rain
156,Jabinyanah,TN,35.035,10.9081,48.63,68,0,6.87,clear sky
157,Yellowknife,CA,62.456,-114.3525,-5.58,87,100,17.27,light snow
158,Oktyabrskoye,RU,43.0645,44.7417,32.14,93,100,8.95,light snow
159,Shangrao,CN,28.4532,117.9686,49.5,76,93,5.61,overcast clouds
160,Waddan,LY,29.1614,16.139,50.92,56,5,5.57,clear sky
161,Cap Malheureux,MU,-19.9842,57.6142,79.3,70,0,2.21,clear sky
162,Hambantota,LK,6.1241,81.1185,88.14,66,40,1.14,scattered clouds
163,Lerwick,GB,60.1545,-1.1494,39.2,78,100,17.18,overcast clouds
164,Rocha,UY,-34.4833,-54.3333,58.98,93,5,5.79,clear sky
165,Tasiilaq,GL,65.6145,-37.6368,17.76,57,100,8.37,overcast clouds
166,Kaitangata,NZ,-46.2817,169.8464,63.25,90,34,2.64,scattered clouds
167,Lebu,CL,-37.6167,-73.65,57.81,85,100,23.09,overcast clouds
168,Saint-Philippe,RE,-21.3585,55.7679,83.75,73,14,8.23,few clouds
169,Bandarbeyla,SO,9.4942,50.8122,77.09,54,73,22.93,broken clouds
170,Dingle,PH,10.9995,122.6711,83.55,62,82,17.0,broken clouds
171,Guerrero Negro,MX,27.9769,-114.0611,60.55,67,0,2.57,clear sky
172,Ribeira Grande,PT,38.5167,-28.7,58.35,65,5,6.11,clear sky
173,Tateyama,JP,34.9833,139.8667,37.42,96,100,24.05,moderate rain
174,Aykino,RU,62.2248,49.9922,23.36,93,100,9.62,light snow
175,Semey,KZ,50.4111,80.2275,-0.18,85,100,2.24,mist
176,Simbahan,PH,6.3032,120.5836,81.45,82,99,18.34,overcast clouds
177,Saurimo,AO,-9.6608,20.3916,70.16,75,100,4.05,overcast clouds
178,Northam,GB,51.0333,-4.2167,43.02,78,100,13.33,overcast clouds
179,Porbandar,IN,21.6422,69.6093,79.57,32,7,11.86,clear sky
180,Chuzhou,CN,32.3219,118.2978,45.27,59,73,5.41,broken clouds
181,Tutoia,BR,-2.7619,-42.2744,76.98,85,100,7.76,overcast clouds
182,Tilichiki,RU,60.4667,166.1,-13.95,82,32,6.33,scattered clouds
183,Jardim,BR,-21.4803,-56.1381,64.89,54,0,2.86,clear sky
184,Kruisfontein,ZA,-34.0033,24.7314,75.88,51,0,9.42,clear sky
185,Cangzhou,CN,38.3167,116.8667,49.98,27,89,7.31,overcast clouds
186,Chokurdakh,RU,70.6333,147.9167,-22.32,94,96,10.85,overcast clouds
187,Kokopo,PG,-4.352,152.2633,83.01,76,98,5.88,light rain
188,Klaksvik,FO,62.2266,-6.589,32.92,65,100,26.82,overcast clouds
189,Hillsborough,US,37.5741,-122.3794,64.65,44,0,0.0,clear sky
190,Kabalo,CD,-6.05,26.9167,69.75,98,100,2.35,light rain
191,Iqaluit,CA,63.7506,-68.5145,-25.87,75,0,0.0,clear sky
192,Altay,CN,47.8667,88.1167,12.74,92,100,2.75,overcast clouds
193,Marabba,SD,12.35,32.1833,77.9,16,6,17.4,clear sky
